"Reference ID","Product Name","Sale  Price","POS Category","Internal Category"
23545401804,"LF MRIA COOKS 3½",0.5,"Grocery","Grocery"
23545401828,"LF MRIA COOKS 7z",0.99,"Grocery","Grocery"
24000001942,"DM TMATO SAUC 8z",0.89,"Grocery","Grocery"
24000002109,"DM PEACHES 4/4z",3.39,"Grocery","Grocery"
24000002314,"DM MIXD FRT 4/4z",3.39,"Grocery","Grocery"
24000011071,"DM PETITE 14½z",1.99,"Grocery","Grocery"
24000011859,"DM PNAPLE SL 20z",1.99,"Grocery","Grocery"
24000015055,"DM MANDRN T 4/4z",3.39,"Grocery","Grocery"
24000015185,"DM CHERRY M 4/4z",3.39,"Grocery","Grocery"
24000015390,"DM CHERRY MX 8¼z",1.39,"Grocery","Grocery"
24000021407,"DM FRT CCKTL 8½z",1.39,"Grocery","Grocery"
24000021421,"DM S PEACHES 8½z",1.39,"Grocery","Grocery"
24000021575,"DM APRICOT H 8½z",1.79,"Grocery","Grocery"
24000021834,"DM MANDRN OR 8¼z",1.39,"Grocery","Grocery"
24000027973,"DM SLI PEARS 8½z",1.39,"Grocery","Grocery"
24000030560,"DM D PEACH 4/4½z",3.59,"Grocery","Grocery"
24000034094,"DM CAL PEAH 4/4z",3.59,"Grocery","Grocery"
24000034100,"DM MIXD FRT 4/4z",3.59,"Grocery","Grocery"
24000034117,"DM CAL PEAH 4/4z",3.59,"Grocery","Grocery"
24000034124,"DM CHERRY M 4/4z",3.59,"Grocery","Grocery"
24000034216,"DM MANDARN O 15z",2.49,"Grocery","Grocery"
24000034728,"DM PETIT CUT 14½",1.99,"Grocery","Grocery"
24000035589,"DM PINAPPLE 4/4z",3.59,"Grocery","Grocery"
24000035596,"DM TRPC FRT 4/4z",3.59,"Grocery","Grocery"
24000051978,"DM D PEACH 4/4½z",3.59,"Grocery","Grocery"
24000051985,"DM MANDRIN 4/4½z",3.59,"Grocery","Grocery"
24000051992,"DM MXD FRT 4/4½z",3.59,"Grocery","Grocery"
24000115526,"DM MX FRUIT 4/4z",3.39,"Grocery","Grocery"
24000163084,"DM SWEET PEAS 15",1.99,"Grocery","Grocery"
24000163190,"DM MIXED VEG 14½",1.49,"Grocery","Grocery"
24000167044,"DM FRUIT CL 15¼z",2.49,"Grocery","Grocery"
24000167143,"DM PEACH HV 15¼z",2.49,"Grocery","Grocery"
24000322009,"CI CHCKN BRT 14½",1.39,"Grocery","Grocery"
24000322016,"CI BF FAT F 14½",1.39,"Grocery","Grocery"
24000323204,"CI BEEF BRTH 14½",1.39,"Grocery","Grocery"
24000325000,"CI GARDN VEG 14½",1.39,"Grocery","Grocery"
